Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
M,652400,676600,830000,808760,741840,751920,557840,648960,663520,560080,514920,716840,571800,702680,533960,673240,687760,585240,626640,696200,736960,800200,4360960,4202440
N,692000,550440,680200,779400,698600,757040,784080,815160,729320,676200,772640,669680,606280,740720,668200,889400,737040,756760,760120,872760,571440,674000,4282400,4069760
O,647360,719280,837640,671040,694880,723080,828160,840680,700960,752960,570600,684840,717520,643840,726520,772000,620480,772480,724960,827120,718640,630920,4833440,3864400
P,592040,716160,726840,42960,819400,746120,663440,692040,531640,649400,690360,822040,639920,677200,586840,88800,613280,645880,723960,792360,452800,731680,4321720,3756080
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
2,1,5036,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:07:02 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
2,Jez US LUM 384 (cps),0,512,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
B,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
C,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
D,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
E,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
F,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
G,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
H,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
I,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
J,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
K,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
L,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
M,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
N,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
O,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
P,0.56238906487,0.56238906487,,,,,,,,,,,,,,,,,,,,,0.56238906487,0.56238906487
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
2,1,5036,14.01,17.9,17.92,55.4,55.7,18.39,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:07:02 PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
2,Jez US LUM 384 (cps),0,512,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,687600,807800,836160,770800,961480,869600,869000,725480,597720,923680,1011000,921480,808200,485400,882880,816280,725320,930160,859440,931360,711320,879240,4041920,3192480
B,799920,797680,826480,881360,970000,940280,879560,1058080,761360,935840,932120,951640,660520,475400,1055880,831000,810400,895120,818280,822240,792240,774800,3934320,3474360
C,595240,926640,1015000,879080,887840,1016480,980600,944320,445480,1000840,859920,879880,102160,646320,822680,657240,951240,834760,760520,753480,749840,935920,4439480,3605400
D,716800,782320,880880,866200,948000,879240,971280,1102880,908720,903520,964960,969400,986800,656880,962680,911640,742840,770680,829640,890040,780200,744720,4373840,3662000
E,794240,791360,848440,903560,919640,885960,955640,992560,877640,79160,826680,979080,881320,496000,930200,993720,642280,926480,571360,899000,878760,841400,4256960,3665280
F,729640,798000,904480,793960,918200,143520,966240,896680,657840,820320,841360,868840,326280,768880,872920,962600,662920,838760,605800,776960,680080,823200,4575640,3608640
G,675720,842840,854840,750320,732000,1018480,852120,61480,733280,352640,848840,854520,696240,796840,872840,880680,756640,703440,836800,769800,743880,726000,4518360,3665440
H,670520,846640,857200,881240,700240,955280,853680,154000,790680,822800,517520,107680,672080,767800,927880,780280,701440,808440,831800,501800,701760,912000,4191160,3649280
I,596040,703560,863680,920800,674360,845080,830560,800720,714360,926400,855000,847480,870920,1012960,815800,881440,777080,660680,791640,749800,852000,750520,4365200,3597840
J,722120,837040,660720,802600,722760,766680,980720,917560,818960,744520,898800,771440,855800,823080,1006520,1087960,717640,795760,882120,785920,702040,770560,4199960,3697520
K,686560,739640,743840,881760,782240,945480,924960,864160,835760,772520,1017200,993320,779640,957440,1008200,924320,867400,786520,515680,753480,775760,807520,4374960,3607280
L,736040,948520,828080,851840,873360,917600,759000,1009000,973320,894240,221040,951360,712000,911720,991240,903640,709440,868320,804280,865440,832800,804560,3942400,3620120
M,736720,879920,919200,827960,502680,125680,641400,849560,863760,793440,837360,858600,882760,943120,808920,829480,830880,832920,793120,755160,629560,761480,4434480,3570480
N,817600,808600,871200,872920,892760,805960,764640,944240,1029440,878600,178440,908840,757960,814400,906800,1098760,855080,857240,804920,927800,795920,756400,4010240,3563480
O,771200,789760,786160,942760,803760,835720,836360,975680,974240,778040,754720,160360,577360,814800,1043720,821160,939280,892880,711760,731280,665040,814040,3776960,3515800
P,663800,764320,802760,849680,798000,757160,230160,859400,781600,783920,794840,678960,716960,815320,897480,877760,669760,657880,724280,782240,756160,872880,4061200,3529800
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
3,1,5037,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:08:39 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
3,Jez US LUM 384 (cps),0,552,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
B,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
C,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
D,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
E,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
F,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
G,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
H,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
I,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
J,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
K,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
L,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
M,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
N,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
O,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
P,0.6090619716,0.6090619716,,,,,,,,,,,,,,,,,,,,,0.6090619716,0.6090619716
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
3,1,5037,14.01,17.92,17.92,55.7,55.4,18.41,18.51,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:08:39 PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
3,Jez US LUM 384 (cps),0,552,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,597120,818720,889840,812840,963680,956360,835600,757880,940760,745760,632600,773640,502880,833840,958240,818320,647160,816000,835800,133320,708920,885880,3742840,3358040
B,712680,878800,1029320,928000,916200,749720,887160,872560,748120,822040,915480,729440,859840,804120,821640,454720,851800,764800,815400,771840,845760,798200,3912400,3481960
C,749440,1063000,936520,937000,878120,815400,547760,816000,770240,855120,908280,871840,840360,598040,782520,844560,827800,818920,1021120,850920,933160,881520,4148560,3562320
D,792920,853680,899160,1054280,819400,868200,916760,789720,951800,560920,847000,893120,886720,948320,955680,891400,951880,890920,755400,874000,865760,875600,3816560,3641280
E,911000,777920,922880,855560,846640,615000,946840,1039160,887400,989800,992280,886320,909240,861720,1043640,867840,899320,925840,890520,802040,741320,889720,4469160,3577400
F,787520,906080,1066640,955800,905640,976880,882960,68560,840760,949240,670400,808360,859720,984800,1094880,741640,805360,885280,890040,987840,788200,698240,4091440,3594040
G,872880,909160,261560,1138840,916320,999600,841920,451120,860320,1119080,871920,1080640,1107960,1033240,1066800,1004720,886280,944600,808440,999080,835920,773720,4182200,3601400
H,834480,1005200,933480,956360,899000,686880,915320,1005600,978560,878840,806560,738640,838320,934880,917960,892680,1012880,852640,857360,979760,893720,428920,4258400,3630520
I,785280,1054320,1058840,1054800,808720,796720,1004360,954320,878200,1022640,836720,1187200,902600,112160,1036080,886240,759720,855040,797400,908080,881560,818960,4074760,3833320
J,918920,993960,1048760,639480,774680,833000,775000,169880,814000,660920,660120,747680,825520,776360,763600,911320,654560,800880,783600,836720,725240,675760,3804720,3690920
K,881120,888120,1158600,889160,880720,756560,955320,895280,972400,1233520,1225600,914720,653280,1111560,1084760,1008520,823840,981520,1020520,927360,259600,868400,3742920,3607520
L,797200,881160,962640,1128240,862480,803720,1152760,909520,467240,1027280,816200,982760,833440,1103400,1086240,1011600,821640,686480,905680,835120,1033480,848160,3598800,3539000
M,836440,831360,1115160,958800,926800,807280,990120,1070880,740640,905480,876720,890120,122640,943040,591440,901480,833320,920240,901160,817920,334120,896600,3755240,4087600
N,733480,863600,913280,934880,192760,947720,923920,823600,783240,1089080,841840,790760,808280,1120920,259120,743000,675960,978280,939120,1007720,956760,936200,3818040,3421800
O,756640,755360,451800,121960,713720,938320,812480,202080,259040,340440,889280,711480,246160,947800,297240,916240,937200,933600,938720,1002400,830480,847200,3519160,3322800
P,772160,968840,904320,796480,707040,610000,820960,785600,730160,862320,842800,732000,918320,778560,754080,763640,745760,946480,856800,888360,780680,845760,3832760,3465280
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
4,1,5038,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:10:15 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
4,Jez US LUM 384 (cps),0,432,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
B,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
C,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
D,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
E,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
F,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
G,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
H,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
I,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
J,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
K,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
L,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
M,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
N,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
O,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
P,0.71626780059,0.71626780059,,,,,,,,,,,,,,,,,,,,,0.71626780059,0.71626780059
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
4,1,5038,14.01,17.9,18.02,55.4,55.5,18.39,18.31,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,5/26/2023 7:10:15 PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
4,Jez US LUM 384 (cps),0,432,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,623800,708320,749040,451760,611040,659880,681280,597480,556560,595360,716600,912000,735560,674560,842280,734720,677040,700840,849360,834360,704840,704920,3526400,2965000
B,667840,632760,743520,677360,764120,705840,715920,718080,752880,730360,143160,662320,740480,622360,801200,605840,623880,640200,140600,513240,664000,622680,3273440,3104160
C,543840,736680,623760,586360,353920,671280,834760,628960,705240,664480,939680,801920,693480,830880,519400,691680,614520,613640,751800,816240,684800,754320,3486720,3206800
D,654120,665920,617520,742440,628320,618720,706040,637000,681120,673000,849120,827320,662400,575920,779840,706320,465040,730360,344200,686480,683480,631080,3975680,3202200
E,628360,819720,748320,122120,608600,622440,848120,703720,804160,652440,838000,866840,751280,809680,662520,685960,230800,737880,599040,787200,782200,821200,3436400,3200800
F,646720,761600,668040,887280,691280,659320,841000,99880,758480,688680,803880,761120,687600,776040,887680,720320,708280,705520,701240,725240,832120,771200,3469440,3282480
G,561440,716960,731160,755440,773960,814240,720040,803920,670640,778520,696080,721320,756680,677080,784360,900120,623000,770760,775360,831120,725440,744600,3475840,3261240
H,628400,621920,746760,827000,668360,771280,819640,67960,653080,667520,740360,53400,605840,774920,838720,770120,715160,737320,723600,829080,777160,736440,3537840,3277160
I,661160,743200,618240,678600,600560,888720,747720,761760,660360,630160,648440,196920,753120,702320,716480,773280,722040,750400,896960,733760,732320,830840,3441440,3271840
J,600120,609080,676200,101640,550760,795080,764720,727160,667600,686040,671040,42320,717720,845840,793800,713960,690560,846360,639800,857120,621840,717640,3495280,3290360
K,665840,804040,673160,684920,710080,755280,767760,811720,737480,781440,777400,739320,751040,747120,685800,748480,759160,742160,773520,840360,751160,715080,3569360,3297000
L,715680,690560,698800,622720,582920,673200,693320,603080,657760,502880,721240,815840,723520,585240,657720,859720,673400,778440,780960,688160,697720,608080,3461440,3315040
M,691520,720520,653600,706360,687640,895280,906560,789120,758800,573240,812080,841680,637280,733480,782920,914840,766080,833480,129640,653480,780000,654160,3525920,3320480
N,537360,730360,793800,702480,358200,686200,802240,712080,642240,862200,836360,564280,713440,774400,819320,814400,804200,791120,714000,159240,651640,699160,3518760,3310480
O,652720,681040,736080,690160,723760,765320,803520,718640,659280,664960,467640,815440,733360,756960,864080,858640,633920,738600,939400,746080,690360,766320,3497440,3231080
P,614480,495840,664280,700880,762200,854840,853400,684680,666240,563960,680440,867040,762240,733720,691640,608120,884520,817760,882400,750000,805080,774400,3544720,3258160
,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,
5,1,5039,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,5/26/2023 7:11:51 PM,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
5,Jez US LUM 384 (cps),0,512,0.1,00:00:00.000,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
