Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
C,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
D,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
E,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
F,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
G,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
H,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
I,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
J,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
K,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
L,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
M,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
N,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
O,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
P,-1.684444078,-1.684444078,,,,,,,,,,,,,,,,,,,,,-1.684444078,-1.684444078,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,
1,1,5035,14.01,17.9,17.82,34,34.1,18.2,18.41,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:30,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
1,Jez US LUM 384 (cps),0,380,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,632840,582400,581320,595760,458560,605440,620000,572200,663760,631760,628520,575640,480160,554280,597760,591320,636520,623760,571160,572240,46760,570080,763520,837640,,,,,,
B,640600,616680,48200,570360,580800,645360,540480,669360,502920,610600,582840,637520,710720,564160,499720,41040,648320,633280,41360,43040,631320,57760,795520,688000,,,,,,
C,645240,603040,627440,618960,628440,635280,565680,73720,604080,619280,646560,625520,609360,686280,622520,618480,590520,678760,629480,601760,663480,608200,865880,731920,,,,,,
D,676520,601840,622920,619880,645200,638000,129760,660160,620400,627920,461720,651120,580480,625440,549360,657600,709360,724520,579280,630800,589160,650480,727480,757560,,,,,,
E,657400,621640,640640,562640,640720,622080,550760,656400,697640,647800,542960,637640,623640,636320,661800,622680,705360,699640,586800,565040,793960,662200,878160,708160,,,,,,
F,696000,631000,618640,648600,115320,626040,52960,636760,254520,634000,618040,648880,729000,626600,699560,678600,712880,719200,640160,658680,707720,579000,874040,733040,,,,,,
G,696440,646520,615880,670400,43080,592040,664080,548400,631920,649560,608040,656200,689760,657000,702520,703800,48880,579800,574600,208600,641440,515360,828480,762280,,,,,,
H,680320,642000,626000,592840,689520,494160,537520,666320,700480,563240,628440,80560,721880,551800,640520,675960,639560,702720,610640,595600,645520,672520,812280,698880,,,,,,
I,669280,643360,656080,665440,50400,114320,654560,734720,46200,641640,657880,804880,601320,683080,650640,611840,537320,46560,634760,584840,455280,512120,771200,721680,,,,,,
J,668760,676600,641240,50400,93360,709400,426520,646480,637920,86800,580280,655120,647280,571080,51200,47720,56800,232440,466680,597320,668760,587560,704760,702800,,,,,,
K,702960,649320,618600,73080,562240,510200,654800,661080,530760,642960,534880,654560,670200,741760,521840,657360,671480,652120,576600,572680,643120,637080,691920,708960,,,,,,
L,696240,656720,603840,724400,565520,674880,633800,687400,663760,668760,642440,36200,737200,547400,361160,640080,685360,631560,53400,582680,595400,603920,779200,752280,,,,,,
M,662800,672720,584400,672120,610000,591720,125440,395400,624520,434560,592000,637600,597600,544240,130320,633040,664800,390520,575000,623160,641480,594880,820280,692960,,,,,,
N,673000,666440,678680,641960,628520,619760,698000,668920,661520,624360,548400,610640,657520,476680,661440,40800,623600,42160,492360,40920,625040,498320,857600,786280,,,,,,
O,670200,649600,662520,617760,625440,587320,645520,641640,572880,619440,607000,570760,637920,551360,622440,551840,638720,568200,69520,531720,620320,558840,710040,779960,,,,,,
P,681720,713440,670160,47720,622800,681240,43480,504400,581120,476560,520640,39400,634880,535600,614040,50000,615960,584680,543040,503560,510280,540080,678720,689880,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,
2,1,5036,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/7/23 17:32,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
2,Jez US LUM 384 (cps),0,376,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
B,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
C,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
D,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
E,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
F,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
G,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
H,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
I,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
J,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
K,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
L,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
M,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
N,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
O,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
P,-12.45912758,-12.45912758,,,,,,,,,,,,,,,,,,,,,-12.45912758,-12.45912758,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,
2,1,5036,14.01,17.82,17.82,34,34.1,18.31,18.31,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:32,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
2,Jez US LUM 384 (cps),0,376,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,665880,636680,429000,600360,612680,590440,603920,627000,470480,594560,564600,612320,42520,623840,633920,556960,679760,517040,116200,601200,660880,566640,732520,744040,,,,,,
B,675800,628160,605760,619080,44200,589560,45720,642840,647360,589000,557360,590560,335320,564840,606920,535640,662880,486280,421840,268520,42080,41840,696960,687000,,,,,,
C,679640,659960,527080,636240,636000,628920,658160,617320,506080,640160,615520,615160,43200,85920,40960,443680,619200,39160,618880,615920,36680,37920,107840,727400,,,,,,
D,694800,642080,617000,656000,580600,590240,448720,670160,571480,649040,606720,623880,613920,57920,672760,634400,590680,571520,125160,601200,83600,34480,213760,764880,,,,,,
E,673440,685840,662920,613440,647760,665720,658920,630960,604720,14840,603920,624560,611600,38560,647920,598240,629720,608480,621600,600160,516600,629840,779160,743640,,,,,,
F,643400,664160,606520,638720,719080,589000,644440,623760,439680,648640,590880,534000,426040,653960,638880,628640,630600,653720,589600,627880,632200,582320,781280,748880,,,,,,
G,627440,678680,567600,560200,194800,41040,642080,31720,290440,500760,626360,38200,41240,649040,522040,625040,660480,577200,638320,618160,87560,603360,727080,726040,,,,,,
H,631560,676600,665240,39960,678840,557120,628920,38160,584200,658400,160160,33720,126040,619880,650400,602720,633360,655040,702680,552000,534080,574920,711440,679040,,,,,,
I,629640,656840,646960,626200,601600,592440,575320,634600,591600,585200,450240,629240,36200,379280,545320,569280,582160,666920,86080,493400,603440,582920,761520,702640,,,,,,
J,626960,652920,662400,625960,43080,48640,46440,36480,45520,43880,45560,45280,48120,547840,134440,396560,218520,624640,549920,522760,446240,620240,724920,720440,,,,,,
K,640600,652000,131160,460680,331320,542640,632360,619760,627880,39760,589320,612520,42320,627640,683960,644960,684840,617560,620160,583600,596840,600280,738240,732320,,,,,,
L,626440,653320,584760,40560,725800,594600,600920,649400,620440,631800,135160,622160,474480,632960,541000,542600,571480,634760,615840,602000,595240,604840,762760,705680,,,,,,
M,648680,641320,649200,661440,591240,597520,647400,649160,598320,629360,629800,634400,570880,611680,621960,597120,43400,37160,587680,563760,437480,394560,744800,684480,,,,,,
N,623240,657120,652000,653720,525600,516840,434160,614680,606560,607840,112040,603400,583480,537040,584040,587280,41520,561240,570840,546640,579800,569720,714280,715760,,,,,,
O,575360,612600,573400,622960,646080,666200,582200,36320,609400,606840,567440,53440,607800,622560,599720,37720,582000,569320,587920,470520,556240,34480,668040,670200,,,,,,
P,633080,614840,616480,75200,653800,379520,293240,547200,544920,635760,602040,551120,630960,642960,619320,536280,597640,574200,531000,489880,465600,501600,644720,643560,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,
3,1,5037,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/7/23 17:34,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
3,Jez US LUM 384 (cps),0,356,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
B,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
C,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
D,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
E,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
F,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
G,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
H,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
I,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
J,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
K,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
L,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
M,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
N,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
O,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
P,-3.714991288,-3.714991288,,,,,,,,,,,,,,,,,,,,,-3.714991288,-3.714991288,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,
3,1,5037,14.01,17.82,17.92,34.1,34.4,18.31,18.21,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:34,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
3,Jez US LUM 384 (cps),0,356,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,79640,563360,505800,464360,701400,604880,585480,693800,629320,572600,563040,554360,600720,570680,596440,698080,636880,602320,639760,76480,690080,679320,733800,725400,,,,,C04,Amsacrine
B,627600,637400,524920,618440,649080,484080,611800,610520,701600,581280,534160,605080,655440,712240,742320,657440,633680,627920,291800,633440,586880,744680,749240,712200,,,,,F16,Undecylenic Acid
C,590720,553760,593880,1106680,634840,618960,78640,684400,677080,603680,52000,600160,669240,37280,644680,602840,86000,650360,703280,565280,532120,649480,713960,705680,,,,,I15,Mefloquine
D,653360,631880,630160,627440,531480,625280,683040,688080,649920,142400,599160,660720,542960,31320,48920,667600,682800,658040,54280,542640,544400,565360,756720,765600,,,,,,
E,633120,570000,616160,675760,570000,466920,683000,410080,694360,683280,661840,641000,665880,41760,673800,668560,688920,703480,635240,584080,516840,555680,711560,718440,,,,,,
F,618960,610160,594120,604200,53000,662280,622040,61680,647640,697280,457520,651800,500640,669320,674160,932920,732800,605840,520040,77160,501040,633200,602880,714840,,,,,,
G,611400,633480,550440,611000,656240,667480,602160,336520,686480,727160,427320,674960,422880,582240,657400,685040,662840,680520,577560,614920,563120,680360,719480,703920,,,,,,
H,690560,617560,594360,70600,643200,321800,675400,661880,684640,47320,691680,621680,691360,693240,635680,644840,697920,664840,583040,696920,607040,665280,717720,758120,,,,,,
I,708440,612880,631480,526680,700200,634520,657200,660280,70520,666840,640160,590800,640840,48040,864760,47640,648840,359840,572600,711640,630600,636320,728400,756680,,,,,,
J,604080,634280,477480,50160,597360,638640,223080,52240,35880,647080,626400,665800,672200,621600,622000,621080,655360,255000,625840,489600,450080,540680,724480,681760,,,,,,
K,577000,638400,643560,549960,589720,659440,457160,536560,674880,380920,452000,648200,530840,598840,638120,595840,38680,530960,478400,581400,376800,578360,722280,680800,,,,,,
L,631600,643800,635960,664160,603880,530120,613680,619040,34840,655040,47520,610840,379640,523080,483600,549760,599040,234680,30880,431920,44160,600600,668720,659960,,,,,,
M,621560,632360,625640,468240,587160,670720,659520,561200,48880,392320,613160,581720,33880,570600,399120,561960,478760,591240,527440,539720,589400,509320,696480,650560,,,,,,
N,595440,665400,593320,651960,74680,667800,476480,652320,41560,589960,594320,603040,536880,566120,54800,580520,584520,630800,553800,567480,588920,585480,677960,652920,,,,,,
O,639680,659240,22600,482720,601640,487240,83600,451880,678600,469200,44320,534960,127880,576000,575480,566920,542800,541920,540360,536440,279480,436080,652640,633160,,,,,,
P,593520,648040,566280,582400,566920,48840,583920,553320,416080,550320,525800,592000,423120,561840,586960,594480,391080,479600,492800,508680,481280,574720,627920,640280,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,,,
4,1,5038,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/7/23 17:35,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
4,Jez US LUM 384 (cps),0,396,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,
A,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
B,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
C,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
D,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
E,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
F,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
G,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
H,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
I,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
J,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
K,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
L,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
M,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
N,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
O,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
P,-1.484994721,-1.484994721,,,,,,,,,,,,,,,,,,,,,-1.484994721,-1.484994721,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,,,
4,1,5038,14.01,17.92,17.92,34.3,34.3,18.31,18.31,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/7/23 17:35,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,
4,Jez US LUM 384 (cps),0,396,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,K10,Nalidixic Acid
A,692640,632000,612480,548960,691600,671160,613280,545040,76400,48560,46800,39200,603320,616360,505960,572160,298200,597720,496400,598000,637600,609880,754480,813600,,,,,I20,Cefprozil
B,696880,613280,662560,652880,533960,696160,662720,674400,52640,37360,52000,38040,56080,638920,631480,668120,582720,638000,60120,813720,45480,622400,758920,782040,,,,,B20,Levosimendan
C,718360,699480,670840,655520,628200,61320,646200,469800,676440,40040,39440,38360,42040,640160,624520,392640,702160,45920,549680,52040,638080,641760,775680,793080,,,,,,
D,692200,657960,128280,678960,730320,694800,668720,634760,672840,97480,33280,34720,39760,559240,624840,637920,629000,654880,120680,610240,598040,647640,754760,804000,,,,,,
E,708440,683040,711160,678480,633800,648400,682320,43960,697640,653920,29560,38560,91440,669160,641240,40920,36680,738200,601320,642240,295720,371840,779840,801120,,,,,,
F,703280,700800,670560,606680,674080,737000,678040,31600,580920,668840,45000,40120,479880,374840,645600,635480,519560,658080,589680,589960,617480,629880,770120,797360,,,,,,
