,",0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28"
94,"94,E,0.2892670157068063,0.28664921465968585,0.31282722513089006,0.2892670157068063,0.31151832460732987,0.306282722513089,0.3337696335078534,0.337696335078534,0.3010471204188482,0.3324607329842932,0.3468586387434555,0.31675392670157065,0.34293193717277487,0.3206806282722513,0.3180628272251309,0.3180628272251309,0.3180628272251309,0.3075916230366492,0.36387434554973824,0.31151832460732987,0.2643979057591623,0.2892670157068063,0.8206806282722513,0.9410994764397905,0.0,,,8320"
95,"95,F,0.29712041884816753,0.28664921465968585,0.3102094240837696,0.331151832460733,0.3481675392670157,0.4162303664921466,0.31282722513089006,0.34554973821989526,0.36910994764397903,0.3193717277486911,0.32329842931937175,0.32722513089005234,0.3206806282722513,0.3468586387434555,0.3075916230366492,0.33638743455497383,0.3010471204188482,0.3010471204188482,0.31151832460732987,0.2774869109947644,0.29712041884816753,0.2892670157068063,0.8089005235602095,0.8965968586387435,0.0,,,7120"
96,"96,G,0.2787958115183246,0.28403141361256545,0.27486910994764396,0.27356020942408377,0.3036649214659686,0.299738219895288,0.3089005235602094,0.29450261780104714,0.31544502617801046,0.3102094240837696,0.3219895287958115,0.2931937172774869,0.31544502617801046,0.3036649214659686,0.3219895287958115,0.3180628272251309,0.2918848167539267,0.29581151832460734,0.2670157068062827,0.27486910994764396,0.26570680628272253,0.2761780104712042,0.8599476439790575,0.819371727748691,0.0,,,7880"
97,"97,H,0.2617801047120419,0.28534031413612565,0.3023560209424084,0.3075916230366492,0.306282722513089,0.3416230366492147,0.299738219895288,0.3206806282722513,0.3193717277486911,0.3180628272251309,0.32722513089005234,0.32591623036649214,0.31151832460732987,0.331151832460733,0.306282722513089,0.3102094240837696,0.30497382198952877,0.3036649214659686,0.306282722513089,0.2774869109947644,0.28534031413612565,0.25654450261780104,0.7526178010471204,1.0,0.0,,,7360"
98,"98,I,0.2591623036649215,0.2709424083769634,0.28664921465968585,0.2931937172774869,0.2761780104712042,0.2931937172774869,0.31675392670157065,0.29842931937172773,0.31544502617801046,0.3010471204188482,0.30497382198952877,0.3180628272251309,0.299738219895288,0.2918848167539267,0.30497382198952877,0.29712041884816753,0.3075916230366492,0.29581151832460734,0.28403141361256545,0.28403141361256545,0.27225130890052357,0.2774869109947644,0.8089005235602095,0.8206806282722513,0.0,,,7240"
99,"99,J,0.25654450261780104,0.2670157068062827,0.2774869109947644,0.3010471204188482,0.2879581151832461,0.29450261780104714,0.31544502617801046,0.29842931937172773,0.31544502617801046,0.3010471204188482,0.2918848167539267,0.27486910994764396,0.2905759162303665,0.24738219895287958,0.29581151832460734,0.30497382198952877,0.29581151832460734,0.281413612565445,0.27486910994764396,0.27486910994764396,0.281413612565445,0.2591623036649215,0.8167539267015707,0.8743455497382199,0.0,,,7680"
100,"100,K,0.2604712041884817,0.2774869109947644,0.2683246073298429,0.29842931937172773,0.31675392670157065,0.2918848167539267,0.31282722513089006,0.29450261780104714,0.32460732984293195,0.32329842931937175,0.3219895287958115,0.3193717277486911,0.31282722513089006,0.3206806282722513,0.2931937172774869,0.31151832460732987,0.2892670157068063,0.2670157068062827,0.2761780104712042,0.29712041884816753,0.2486910994764398,0.2630890052356021,0.8350785340314136,0.819371727748691,0.0,,,8240"
101,"101,L,0.2591623036649215,0.2604712041884817,0.2787958115183246,0.2683246073298429,0.3023560209424084,0.2892670157068063,0.31282722513089006,0.28403141361256545,0.32591623036649214,0.28664921465968585,0.29450261780104714,0.3010471204188482,0.2892670157068063,0.3180628272251309,0.29450261780104714,0.29450261780104714,0.2918848167539267,0.27486910994764396,0.2761780104712042,0.27356020942408377,0.27486910994764396,0.2761780104712042,0.9083769633507853,0.9214659685863874,0.0,,,8640"
102,"102,M,0.281413612565445,0.2761780104712042,0.2774869109947644,0.2892670157068063,0.306282722513089,0.281413612565445,0.3023560209424084,0.30497382198952877,0.29450261780104714,0.3075916230366492,0.3023560209424084,0.2892670157068063,0.3075916230366492,0.281413612565445,0.2905759162303665,0.29450261780104714,0.29581151832460734,0.3075916230366492,0.2801047120418848,0.2670157068062827,0.2670157068062827,0.24345549738219896,0.9345549738219895,0.8821989528795812,0.0,,,8400"
103,"103,N,0.2670157068062827,0.25785340314136124,0.25654450261780104,0.2918848167539267,0.2918848167539267,0.2918848167539267,0.2905759162303665,0.2683246073298429,0.29842931937172773,0.2696335078534031,0.29712041884816753,0.31151832460732987,0.299738219895288,0.3036649214659686,0.2670157068062827,0.2931937172774869,0.29450261780104714,0.28403141361256545,0.281413612565445,0.24476439790575916,0.2617801047120419,0.2643979057591623,0.7931937172774869,0.8992146596858639,0.0,,,8560"
104,"104,O,0.24738219895287958,0.2774869109947644,0.27486910994764396,0.2604712041884817,0.2892670157068063,0.2905759162303665,0.2918848167539267,0.3075916230366492,0.2787958115183246,0.27486910994764396,0.2801047120418848,0.29581151832460734,0.2931937172774869,0.299738219895288,0.2918848167539267,0.2787958115183246,0.29450261780104714,0.29450261780104714,0.2604712041884817,0.2670157068062827,0.25654450261780104,0.2513089005235602,0.8520942408376964,0.8298429319371727,0.0,,,7560"
105,"105,P,0.2513089005235602,0.25523560209424084,0.2526178010471204,0.2617801047120419,0.2709424083769634,0.2670157068062827,0.281413612565445,0.2801047120418848,0.2683246073298429,0.2683246073298429,0.28272251308900526,0.27356020942408377,0.2604712041884817,0.28272251308900526,0.2683246073298429,0.2617801047120419,0.26570680628272253,0.2526178010471204,0.26570680628272253,0.26570680628272253,0.24476439790575916,0.24476439790575916,0.8691099476439791,0.930628272251309,0.0,,,7840"
106,"106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800"
107,"107,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280"
108,"108,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7840"
109,"109,3,1,H2061374,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:51,,,,,,,,,,,,,,,,,8240"
110,"110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440"
111,"111,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760"
112,"112,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7680"
113,"113,3,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8000"
114,"114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9320"
115,"115,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8240"
116,"116,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8080"
117,"117,A,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7960"
118,"118,B,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7840"
119,"119,C,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7800"
120,"120,D,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7080"
121,"121,E,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7760"
