,title,authors,doi,publication_date,journal,abstract,conclusions,copyrights,keywords,methods,pubmed_id,results,xml,isbn,language,publication_type,publisher,publisher_location,sections
0,[THE ISRAELI INHERITED RETINAL DISEASES CONSORTIUM (IIRDC)- CLINICAL-GENETIC MAPPING AND FUTURE PERSPECTIVES].,"Dror Sharon, Tamar Ben-Yosef, Eran Pras, Nitza Goldenberg-Cohen, Libe Gradstein, Noam Shomron, Ohad Birk, Miriam Ehrenberg, Jaime Levy, Eedy Mezer, Shiri Soudry, Ygal Rotenstreich, Hadas Newman, Rina Leibu, Eyal Banin, Ido Perlman",,2019-02-20,Harefuah,"The sense of vision is highly important for humans and its loss markedly affects function and quality of life. Many inherited retinal diseases (IRDs) cause visual loss due to dysfunction or progressive degeneration of photoreceptor cells. These diseases show clinical and genetic heterogeneity.
The Israeli IRD consortium (IIRDC) was established with the goal of performing clinical and genetic mapping of IRDs in the Israeli population.
Clinical evaluation is carried out at electroretinography (ERG) centers and ophthalmology departments, where the patients undergo a comprehensive eye exam, including testing of visual acuity, refractive error, imaging techniques and ERG tests. Genetic analysis is performed using Sanger sequencing, analysis of founder mutations, and whole exome sequencing.
We recruited over 2,000 families including more than 3,000 individuals with IRDs. The most common inheritance pattern is autosomal recessive (65% of families). The most common retinal phenotype is retinitis pigmentosa (RP- 45% of families), followed by cone/cone-rod dystrophy, Stargardt Disease and Usher syndrome. We identified the cause of disease in 51% of families, mainly due to mutations in ABCA4, USH2A, FAM161A, CNGA3, and EYS. IIRDC researchers were involved in the identification of 16 novel IRD genes. In parallel, IIRDC members are involved in the development of therapeutic modalities for these currently incurable diseases.
IIRDC works in close collaborative efforts aiming to continue and recruit for the genotype - phenotype study from the vast majority of Israeli IRD families, to identify all disease-causing mutations, and to tailor therapeutic interventions to each IRD patient.",,,[],,30779484,"We recruited over 2,000 families including more than 3,000 individuals with IRDs. The most common inheritance pattern is autosomal recessive (65% of families). The most common retinal phenotype is retinitis pigmentosa (RP- 45% of families), followed by cone/cone-rod dystrophy, Stargardt Disease and Usher syndrome. We identified the cause of disease in 51% of families, mainly due to mutations in ABCA4, USH2A, FAM161A, CNGA3, and EYS. IIRDC researchers were involved in the identification of 16 novel IRD genes. In parallel, IIRDC members are involved in the development of therapeutic modalities for these currently incurable diseases.",<Element 'PubmedArticle' at 0x0000011448A86180>,,,,,,
0,Novel Role of T Cells and IL-6 (Interleukin-6) in Angiotensin II-Induced Microvascular Dysfunction.,"Elena Y Senchenkova, Janice Russell, Alper Yildirim, D Neil Granger, Felicity N E Gavins",10.1161/HYPERTENSIONAHA.118.12286,2019-02-12,"Hypertension (Dallas, Tex. : 1979)","Hypertension is an established risk factor for subsequent cardiovascular diseases, with Ang II (angiotensin II) playing a major role in mediating thrombotic and inflammatory abnormalities. Although T cells and IL-6 (interleukin-6) play an important role in adaptive immune responses, little is known about their role(s) in the thromboinflammatory responses associated with Ang II. Here we show using intravital microscopy coupled with the light/dye injury model that Rag-1 deficient (Rag-1",,,"['angiotensin II', 'hypertension', 'inflammation', 'interleukin-6', 'thrombosis']",,"30739537
10635057
15523303
7884001
12871204
21149826
21108554
23090770
20975035
21911709
26042828
9700857
9370385
24379186
17875676
22586409
16636173
17585067
21716327
25400581
25190079
22029668
10980636
2788464
26818424
26054883
20921429
10843995
11166766
7635185
10792296
23673000
9822309
29083324
29452567
24390064
28279968
27516069
20971730
27281698
19936194
11722403
29322414
9808540
21716327
19368720
15814435
18957621
29629898
25400581
17903700
25457402
21071689
15368306
1716485
12649139
27766055
12786802
19450911
23266857",,<Element 'PubmedArticle' at 0x0000011448A915E0>,,,,,,
0,Molecular genetic analysis using targeted NGS analysis of 677 individuals with retinal dystrophy.,"Cathrine Jespersgaard, Mingyan Fang, Mette Bertelsen, Xiao Dang, Hanne Jensen, Yulan Chen, Niels Bech, Lanlan Dai, Thomas Rosenberg, Jianguo Zhang, Lisbeth Birk Møller, Zeynep Tümer, Karen Brøndum-Nielsen, Karen Grønskov","10.1038/s41598-018-38007-2
10.1016/S0140-6736(03)14631-4
10.1016/S0140-6736(06)69740-7
10.1126/science.8202715
10.1159/000438872
10.3109/09286586.2014.929710
10.1167/iovs.13-13391
10.1038/sj.ejhg.5201269
10.1002/mgg3.228
10.1002/humu.21204
10.1016/j.ajo.2012.02.036
10.1002/humu.1380020108
10.1038/ejhg.2015.241
10.1002/humu.9499
10.1167/iovs.16-19445
10.1136/jmedgenet-2017-104791
10.1155/2016/6341870
10.1111/cge.12798.
10.1080/13816810.2017.1373831.
10.1371/journal.pone.0078496
10.1046/j.1395-3907.2002.00001.x
10.1002/humu.22716.
10.1093/bioinformatics/btp324
10.1093/bioinformatics/btp352
10.1093/bioinformatics/btq330
10.1097/GIM.0b013e31816b5cae
10.1136/jmg.2005.033878.
10.1093/nar/gkj518.
10.1038/nprot.2009.86
10.1038/nmeth.2890.
10.1038/nmeth0410-248.
10.1093/hmg/7.5.919
10.1093/nar/15.17.7155
10.1089/1066527041410418.
10.1093/nar/29.5.1185
10.1089/cmb.1997.4.311.
10.1093/nar/gkp215.
10.1093/bioinformatics/bts526",2019-02-06,Scientific reports,"Inherited retinal diseases (IRDs) are a common cause of visual impairment. IRD covers a set of genetically highly heterogeneous disorders with more than 150 genes associated with one or more clinical forms of IRD. Molecular genetic diagnosis has become increasingly important especially due to expanding number of gene therapy strategies under development. Next generation sequencing (NGS) of gene panels has proven a valuable diagnostic tool in IRD. We present the molecular findings of 677 individuals, residing in Denmark, with IRD and report 806 variants of which 187 are novel. We found that deletions and duplications spanning one or more exons can explain 3% of the cases, and thus copy number variation (CNV) analysis is important in molecular genetic diagnostics of IRD. Seven percent of the individuals have variants classified as pathogenic or likely-pathogenic in more than one gene. Possible Danish founder variants in EYS and RP1 are reported. A significant number of variants were classified as variants with unknown significance; reporting of these will hopefully contribute to the elucidation of the actual clinical consequence making the classification less troublesome in the future. In conclusion, this study underlines the relevance of performing targeted sequencing of IRD including CNV analysis as well as the importance of interaction with clinical diagnoses.",,,[],,"30718709
14585637
17113430
8202715
26279067
24963760
24713488
15657609
27957503
20120035
22633354
8477262
26626312
18552978
17584859
28002560
29074561
28127548
27160483
28945142
24265693
11921605
25346251
19451168
19505943
20644199
20562413
18414213
16014699
16522644
19561590
24681721
20354512
9536098
3658675
15285897
11222768
9278062
19339519
22942019",,<Element 'PubmedArticle' at 0x0000011448AB57C0>,,,,,,
0,Group structure and entitativity in group fitness: considering groupness at within- and between-group levels.,"M Blair Evans, Scott Graupensperger, Alex J Benson, Mark Eys, Bryce Hastings, Jinger S Gottschall",10.1080/08870446.2019.1566548,2019-01-30,Psychology & health,"How can we distinguish between a collection of individuals exercising alongside one another from group that is exercising 'together'? This question is central to research on the extent that individuals perceive their fitness settings to entail core features of groups. To advance understanding of the nature of groupness and its implications in exercise, the current study (a) evaluated a brief measure of groupness and (b) examined the extent that groupness predicted perceptions of exertion and affect.
Participants included 633 exercisers (M
Groupness, affect, exertion, and group cohesion.
Exploratory structural equation modelling provided support for a two-factor solution reflecting entitativity and group structure as subdimensions of groupness. The groupness factors were differentially associated with theoretically relevant aspects of classes (e.g. synchronised movement), the individual (e.g. number of members interacted with), as well as group cohesion. Groupness also predicted perceived exertion and affect.
Our research provides support for a brief measure of groupness, advances theory related to how individuals perceive exercise groups, and provides evidence regarding how broader experiences during exercise may relate to exercisers' perceptions of groupness.","Our research provides support for a brief measure of groupness, advances theory related to how individuals perceive exercise groups, and provides evidence regarding how broader experiences during exercise may relate to exercisers' perceptions of groupness.",,"['Social influence', 'exercise psychology', 'group dynamics', 'multilevel', 'scale validation']",,30693798,"Exploratory structural equation modelling provided support for a two-factor solution reflecting entitativity and group structure as subdimensions of groupness. The groupness factors were differentially associated with theoretically relevant aspects of classes (e.g. synchronised movement), the individual (e.g. number of members interacted with), as well as group cohesion. Groupness also predicted perceived exertion and affect.",<Element 'PubmedArticle' at 0x0000011448AD4E00>,,,,,,
0,Next-generation sequencing identifies unexpected genotype-phenotype correlations in patients with retinitis pigmentosa.,"Johannes Birtel, Martin Gliem, Elisabeth Mangold, Philipp L Müller, Frank G Holz, Christine Neuhaus, Steffen Lenzner, Diana Zahnleiter, Christian Betz, Tobias Eisenberger, Hanno J Bolz, Peter Charbel Issa","10.1371/journal.pone.0207958
10.1186/1750-1172-1-40
10.1016/S0140-6736(06)69740-7
10.1080/21678707.2018.1444476
10.1002/humu.22045
10.1136/jmedgenet-2012-100847
10.1038/ejhg.2012.172
10.1038/ejhg.2013.72
10.1371/journal.pone.0078496
10.1038/nrg3031
10.1007/s00439-014-1512-7
10.1007/s00439-014-1460-2
10.1007/s00439-013-1381-5
10.1136/jmedgenet-2013-101558
10.1167/iovs.14-15458
10.1167/iovs.14-16178
10.1167/iovs.14-14936
10.1038/srep41937
10.1038/srep42078
10.1038/srep32792
10.3390/genes8100280
10.1167/iovs.09-3982
10.1038/s41598-018-22096-0
10.1086/507318
10.1371/journal.pone.0133624
10.1167/iovs.16-19785
10.1002/1098-1004(2001)17:1<42::AID-HUMU5>3.0.CO;2-K
10.1038/78182
10.1371/journal.pone.0023021
10.1167/iovs.10-6180
10.1167/iovs.12-11541
10.1038/srep18287
10.1167/iovs.12-11025
10.1002/humu.20417
10.1016/j.ajo.2014.10.033
10.1038/srep19450
10.1136/bjo.77.8.473
10.1002/humu.21337
10.1002/humu.9485
10.1016/j.preteyeres.2008.05.003
10.3892/mmr.2014.2894
10.1167/iovs.09-5074
10.1038/srep18287
10.1002/humu.20565
10.1093/hmg/dds194
10.1136/jmedgenet-2016-104200
10.1038/sj.ejhg.5200689
10.1086/320113
10.1136/jmg.2005.035121
10.1016/j.ophtha.2009.09.056
10.1016/j.ophtha.2006.10.028
10.1002/humu.20975
10.1086/518902
10.1016/j.pediatrneurol.2012.05.016
10.1016/j.ejmg.2014.09.004
10.1093/brain/awn366
10.1016/j.ejpn.2014.07.008
10.1167/iovs.16-20608
10.1016/j.ophtha.2014.07.040
10.1016/j.ophtha.2015.05.039
10.1167/iovs.08-3208
10.1136/jmg.39.4.284
10.1016/0014-4835(89)90009-2
10.1007/s00417-004-0891-1
10.1016/j.exer.2013.05.003
10.2147/OPTH.S89371
10.1167/iovs.07-0453
10.1167/iovs.08-2936",2018-12-14,PloS one,"Retinitis pigmentosa (RP) is an inherited degenerative disease causing severe retinal dystrophy and visual impairment mainly with onset in infancy or adolescence. Targeted next-generation sequencing (NGS) has become an efficient tool to encounter the enormous genetic heterogeneity of diverse retinal dystrophies, including RP. To identify disease-causing mutations in unselected, consecutive RP patients, we conducted Sanger sequencing of genes commonly involved in the suspected genetic RP subtype, followed by targeted large-panel NGS if no mutation was identified, or NGS as primary analysis. A high (70%) detection rate of disease-causing mutations was achieved in a large cohort of 116 unrelated patients. About half (48%) of the solved RP cases were explained by mutations in four genes: RPGR, EYS, PRPF31 and USH2A. Overall, 110 different mutations distributed across 30 different genes were detected, and 46 of these mutations were novel. A molecular diagnosis was achieved in the majority (82-100%) of patients if the family history was suggestive for a particular mode of inheritance, but only in 60% in cases of sporadic RP. The diagnostic potential of extensive molecular analysis in a routine setting is also illustrated by the identification of unexpected genotype-phenotype correlations for RP patients with mutations in CRX, CEP290, RPGRIP1, MFSD8. Furthermore, we identified numerous mutations in autosomal dominant (PRPF31, PRPH2, CRX) and X-linked (RPGR) RP genes in patients with sporadic RP. Variants in RP2 and RPGR were also found in female RP patients with apparently sporadic or dominant disease. In summary, this study demonstrates that massively parallel sequencing of all known retinal dystrophy genes is a valuable diagnostic approach for RP patients.",,,[],,"30543658
17032466
17113430
30057863
22334370
22581970
22968130
23591405
24265693
21946919
25472526
24938718
24154662
23847139
25324289
25698705
25097241
28157192
28181551
27596865
29053603
19578027
29555955
16909394
26197217
27898983
9427255
11139241
10932196
21857984
20861475
23372056
26667666
23150612
16969763
25447119
26781568
9475085
7488604
8025041
20690115
17345604
18632300
25377065
20130272
26667666
17554762
22619378
28442542
11528500
11283794
16272259
20079931
17306875
19177532
17564970
22964447
25270050
19201763
25439737
28586915
25227500
1138842
26143542
9350809
19516003
11950860
2737262
15173948
23669302
26316687
17898302
19011017",,<Element 'PubmedArticle' at 0x0000011448ADEF90>,,,,,,
0,"Combined CNV, haplotyping and whole exome sequencing enable identification of two distinct novel EYS mutations causing RP in a single inbred tribe.","Ohad Wormser, Libe Gradstein, Einat Kadar, Yuval Yogev, Yonatan Perez, Elena Mashkit, Khalil Elbedour, Max Drabkin, Barak Markus, Rotem Kadir, Daniel Halperin, Soltan Khalaila, Jaime Levy, Tova Lifshitz, Esther Manor, Ohad S Birk",10.1002/ajmg.a.40668,2018-12-05,American journal of medical genetics. Part A,"Whole exome sequencing (WES) has become routine in clinical practice, especially in studies of recessive hereditary diseases in inbred consanguineous families, where homozygosity of a founder mutation is assumed. Multiple members of two consanguineous families of a single Bedouin tribe were diagnosed with apparently autosomal recessive/pseudo-dominant retinitis pigmentosa (RP). Affected individuals exhibited severe visual impairment with nyctalopia, marked constriction of visual fields, markedly reduced and delayed responses on electro-retinography (ERG) and eventual loss of central vision. Combined copy-number variant (CNV) analysis, haplotype reconstruction and WES of the kindred identified two distinct novel mutations in EYS (RP25): a p.(W1817*) nonsense mutation (identified through WES) and a large deletion encompassing 9 of the 43 exons, that was missed by WES and was identified through microarray CNV analysis. Segregation analysis of both mutations demonstrated that all affected individuals were either homozygous for one of the mutations, or compound heterozygous for both. The two mutations are predicted to cause loss of function of the encoded protein and were not present in screening of 200 ethnically-matched controls. Our findings of two distinct mutations in the same gene in a single inbred kindred, identified only through combined WES and microarray CNV analysis, highlight the limitations of either CNV or WES alone, as the heterozygous deletion had normal WES read-depth values. Moreover, they demonstrate pitfalls in homozygosity mapping for disease-causing variant identification in inbred communities.",,"© 2018 Wiley Periodicals, Inc.","['CNV', 'EYS', 'WES', 'haplotyping']",,30513137,,<Element 'PubmedArticle' at 0x0000011448B15CC0>,,,,,,
0,Generation of a human iPS cell line from a patient with retinitis pigmentosa due to EYS mutation.,"Sofia M Calado, Ana B Garcia-Delgado, Berta De la Cerda, Beatriz Ponte-Zuñiga, Shom S Bhattacharya, Francisco J Díaz-Corrales",10.1016/j.scr.2018.11.002,2018-11-25,Stem cell research,"Retinitis pigmentosa (RP) is an inherited retinal degenerative disease. Mutations in EYS have been associated with autosomal recessive RP. The human iPS cell line, CABi002-A, derived from peripheral blood mononuclear cells from a patient carrying a heterozygous double mutation in EYS gene was generated by non-integrative reprogramming technology, using hOCT3/4, hSOX2, hc-MYC and hKLF4 reprogramming factors. Pluripotency and differentiation capacity were assessed by immunocytochemistry and RT-PCR. This iPSC line can be further differentiated towards the affected cells to understand the pathophysiology of the disease and test new therapeutic strategies.",,Copyright © 2018 The Authors. Published by Elsevier B.V. All rights reserved.,[],,30471616,,<Element 'PubmedArticle' at 0x0000011448B26270>,,,,,,
0,Pearls & Oy-sters: Windmill nystagmus in paraneoplastic cerebellar degeneration.,"Sun-Uk Lee, Hyo-Jung Kim, Sea-Won Oh, Eun Young Song, Jeong-Yoon Choi, Ji-Soo Kim",10.1212/WNL.0000000000006477,2018-11-07,Neurology,,,,[],,30397048,,<Element 'PubmedArticle' at 0x0000011448B2F3B0>,,,,,,
0,The manner of decay of genetically defective EYS gene transcripts in photoreceptor-directed fibroblasts derived from retinitis pigmentosa patients depends on the type of mutation.,"Yuko Seko, Masaki Iwanami, Kiyoko Miyamoto-Matsui, Shimpei Takita, Noriyuki Aoi, Akihiro Umezawa, Seishi Kato","10.1186/s13287-018-1016-9
10.1038/ng.241
10.1167/iovs.09-5109
10.1002/humu.21334
10.1016/j.ajhg.2008.10.014
10.1167/iovs.09-4732
10.1016/j.ophtha.2010.01.040
10.1167/iovs.11-9048
10.1371/journal.pone.0031036
10.1016/j.devcel.2006.08.012
10.1371/journal.pone.0017084
10.5966/sctm.2012-0005
10.1002/stem.1667
10.1073/pnas.1108918108
10.1186/1756-6606-7-45
10.1002/9780470151808.sc01h08s32
10.1242/jcs.050393
10.1371/journal.pone.0035611
10.1111/gtc.12127
10.1242/bio.016477
10.1038/ng1403
10.1016/j.cell.2016.05.053
10.1038/nrg3160
10.1016/j.cell.2007.10.041
10.1038/nn1155
10.1038/42475
10.1016/S0092-8674(00)80439-0
10.1101/gad.209635.112
10.1146/annurev.biochem.76.050106.093909
10.1371/journal.pbio.0060111
10.1016/S0968-0004(98)01208-0
10.1371/journal.pbio.0060092
10.1016/j.cell.2010.10.005
10.1261/rna.030247.111
10.1261/rna.048637.114
10.1242/bio.021584
10.1002/mus.22115",2018-10-26,Stem cell research & therapy,"Generation of induced photoreceptors holds promise for in vitro modeling of intractable retinal diseases. Retinitis pigmentosa is an inherited retinal dystrophy that leads to visual impairment. The EYS gene was reported to be the most common gene responsible for autosomal recessive retinitis pigmentosa (arRP). arRP with defects in the EYS gene is denoted by ""EYS-RP"". We previously established a ""redirect differentiation"" method to generate photosensitive photoreceptor-like cells from commercially available human dermal fibroblasts. In this study, we produced photoreceptor-like cells from dermal fibroblasts of EYS-RP patients as a replacement for the degenerative retinas using ""redirect differentiation"". We analyzed defective transcripts of the EYS gene in these cells to elucidate phenotypes of EYS-RP patients because decay of transcripts was previously suggested to be involved in phenotypic variation associated with diseases.
Using ""redirect differentiation"" by CRX, RAX, NeuroD and OTX2, we made photoreceptor-directed fibroblasts derived from three normal volunteers and three EYS-RP patients with homozygous or heterozygous mutations. We tested inducible expression of the photoreceptor-specific genes (blue opsin, rhodopsin, recoverin, S-antigen, PDE6C) in these cells. We then analyzed transcripts derived from three different types of the defective EYS gene, c.1211dupA, c.4957dupA and c.8805C > A, expressed in these cells by RT-PCR and sequencing.
Photoreceptor-specific genes including the EYS gene were up-regulated in all the photoreceptor-directed fibroblasts tested. However, expression levels of defective transcripts were markedly different depending on the type of mutation. Transcripts derived from these three defective genes were scarcely detected, expressed at a lower level, and expressed at almost the same level as in normal volunteers, respectively.
Expression levels of genetically defective EYS gene transcripts in photoreceptor-directed fibroblasts of EYS-RP patients vary depending on the type of mutation. Variation in expression levels in transcripts having c.1211dupA, c.4957dupA and c.8805C > A suggests that almost complete nonsense-mediated mRNA decay (NMD), partial NMD and escape from NMD occurred for these transcripts, respectively. To determine the relationship with phenotypic variations in EYS-RP patients, more samples are needed. The present study also suggests that the redirect differentiation method could be a valuable tool for disease modeling despite some limitations.",,,"['EYS', 'Redirect differentiation', 'dermal fibroblast', 'disease modeling', 'genotype-phenotype relationship', 'nonsense-mediated mRNA decay (NMD)', 'phenotypic variation', 'photoreceptor', 'retinitis pigmentosa', 'truncating mutation']",,"30359287
18836446
20237254
21069908
18976725
20375346
20537394
22302105
22363543
17011488
21347327
23197854
24532057
21825139
24935155
25640818
19671662
22558175
24456169
27170256
24426771
15284851
27259145
22392217
18022361
21179430
14625556
9177348
9390562
9834183
23431032
17352659
18447585
9644970
18447580
21029861
22028362
25805855
27737822
21826682","Photoreceptor-specific genes including the EYS gene were up-regulated in all the photoreceptor-directed fibroblasts tested. However, expression levels of defective transcripts were markedly different depending on the type of mutation. Transcripts derived from these three defective genes were scarcely detected, expressed at a lower level, and expressed at almost the same level as in normal volunteers, respectively.",<Element 'PubmedArticle' at 0x0000011448B35B80>,,,,,,
0,A mosaic of independent innovations involving eyes shut are critical for the evolutionary transition from fused to open rhabdoms.,"Simpla Mahato, Jing Nie, David C Plachetzki, Andrew C Zelhof",10.1016/j.ydbio.2018.09.016,2018-09-24,Developmental biology,"A fundamental question in evolutionary biology is how developmental processes are modified to produce morphological innovations while abiding by functional constraints. Here we address this question by investigating the cellular mechanism responsible for the transition between fused and open rhabdoms in ommatidia of apposition compound eyes; a critical step required for the development of visual systems based on neural superposition. Utilizing Drosophila and Tribolium as representatives of fused and open rhabdom morphology in holometabolous insects respectively, we identified three changes required for this innovation to occur. First, the expression pattern of the extracellular matrix protein Eyes Shut (EYS) was co-opted and expanded from mechanosensory neurons to photoreceptor cells in taxa with open rhabdoms. Second, EYS homologs obtained a novel extension of the amino terminus leading to the internalization of a cleaved signal sequence. This amino terminus extension does not interfere with cleavage or function in mechanosensory neurons, but it does permit specific targeting of the EYS protein to the apical photoreceptor membrane. Finally, a specific interaction evolved between EYS and a subset of Prominin homologs that is required for the development of open, but not fused, rhabdoms. Together, our findings portray a case study wherein the evolution of a set of molecular novelties has precipitated the origin of an adaptive photoreceptor cell arrangement.",,Copyright © 2018 The Authors. Published by Elsevier Inc. All rights reserved.,[],,30243673,,<Element 'PubmedArticle' at 0x0000011448B61630>,,,,,,
0,Fundus phenotype in retinitis pigmentosa associated with EYS mutations.,"Dario Pasquale Mucciolo, Andrea Sodi, Ilaria Passerini, Vittoria Murro, Francesca Cipollini, Isabella Borg, Elisabetta Pelo, Elisa Contini, Gianni Virgili, Stanislao Rizzo",10.1080/13816810.2018.1509351,2018-08-29,Ophthalmic genetics,"to report phenotypic and genotypic features in a group of autosomal recessive retinitis pigmentosa (arRP) patients associated with EYS mutations.
we retrospectively reviewed the clinical records and the molecular genetic data of arRP patients carrying mutations in the EYS gene. All the patients underwent a comprehensive opthalmological examination. Additional investigation included color fundus photography, fundus autofluorescence, Goldmann visual field, OCT scans and full-field standard electroretinography.
we studied 10 RP patients (20 eyes) characterized by mutations in the EYS gene. Thirteen different sequence variants in the EYS gene were identified. In total, nine mutations found in our series had not previously been reported in the literature. All patients in our series complained of typical RP symptoms at the onset of the disease, namely night blindness and progressive constriction of the visual field. Visual acuity ranged from light perception to 20/20. Relevant findings reported in our series are Interdigitation-zone (IZ band) involvement, present even in the milder phenotypes and an estimated prevalence of 6.2% of arRP associated with EYS mutations.
we reported the mutation spectrum of a group of EYS-related RP patients including nine novel mutations and the associated clinical phenotypes. Our series is the largest group of EYS-related arRP patients in the Italian population.",,,"['Autosomal recessive', 'EYS', 'RP', 'peripapillary atrophy', 'retinitis pigmentosa']",,30153090,"we studied 10 RP patients (20 eyes) characterized by mutations in the EYS gene. Thirteen different sequence variants in the EYS gene were identified. In total, nine mutations found in our series had not previously been reported in the literature. All patients in our series complained of typical RP symptoms at the onset of the disease, namely night blindness and progressive constriction of the visual field. Visual acuity ranged from light perception to 20/20. Relevant findings reported in our series are Interdigitation-zone (IZ band) involvement, present even in the milder phenotypes and an estimated prevalence of 6.2% of arRP associated with EYS mutations.",<Element 'PubmedArticle' at 0x0000011448B6ADB0>,,,,,,
0,Eyes shut homolog is important for the maintenance of photoreceptor morphology and visual function in zebrafish.,"Muriël Messchaert, Margo Dona, Sanne Broekman, Theo A Peters, Julio C Corral-Serrano, Ralph W N Slijkerman, Erwin van Wijk, Rob W J Collin","10.1371/journal.pone.0200789
10.1016/S0140-6736(06)69740-7
10.1016/j.ophtha.2010.01.040
10.1002/humu.21334
10.1371/journal.pone.0031036
10.1016/j.ajhg.2008.10.014
10.1038/ng.241
10.1016/j.devcel.2006.08.012
10.1016/j.preteyeres.2015.04.004
10.1038/srep46098
10.1242/bio.021584
10.1093/nar/gku410
10.1371/journal.pone.0098186
10.1007/978-1-62703-080-9_10
10.1093/hmg/ddu231
10.1242/jeb.003939
10.1016/j.gde.2016.05.009
10.1038/nrn3723
10.1242/dev.090738
10.1159/000267881
10.1167/iovs.16-19973
10.1016/j.cub.2012.08.016
10.3390/ijms18061185
10.1101/pdb.prot4973
10.1016/j.physbeh.2005.08.020
10.1002/cne.902240109
10.1038/ncomms5047
10.7554/eLife.00824",2018-07-28,PloS one,"Mutations in eyes shut homolog (EYS), a gene predominantly expressed in the photoreceptor cells of the retina, are among the most frequent causes of autosomal recessive (ar) retinitis pigmentosa (RP), a progressive retinal disorder. Due to the absence of EYS in several rodent species and its retina-specific expression, still little is known about the exact function of EYS and the pathogenic mechanism underlying EYS-associated RP. We characterized eys in zebrafish, by RT-PCR analysis on zebrafish eye-derived RNA, which led to the identification of a 8,715 nucleotide coding sequence that is divided over 46 exons. The transcript is predicted to encode a 2,905-aa protein that contains 39 EGF-like domains and five laminin A G-like domains, which overall shows 33% identity with human EYS. To study the function of EYS, we generated a stable eysrmc101/rmc101 mutant zebrafish model using CRISPR/Cas9 technology. The introduced lesion is predicted to result in premature termination of protein synthesis and lead to loss of Eys function. Immunohistochemistry on retinal sections revealed that Eys localizes at the region of the connecting cilium and that both rhodopsin and cone transducin are mislocalized in the absence of Eys. Electroretinogram recordings showed diminished b-wave amplitudes in eysrmc101/rmc101 zebrafish (5 dpf) compared to age- and strain-matched wild-type larvae. In addition, decreased locomotor activity in response to light stimuli was observed in eys mutant larvae. Altogether, our study shows that absence of Eys leads to a disorganized retinal architecture and causes visual dysfunction in zebrafish.",,,[],,"30052645
17113430
20537394
21069908
22363543
18976725
18836446
17011488
25936606
28378834
27737822
24861617
24873830
23150366
24824219
11948805
17601957
8954734
27281280
24894585
24154521
8792360
27699411
23000151
28574477
21356789
16199068
6715574
24915161
23991284",,<Element 'PubmedArticle' at 0x0000011448B75C20>,,,,,,
0,The Development and Psychometric Properties of the Multidimensional Assessment of Teamwork in Sport.,"Desmond McEwan, Bruno D Zumbo, Mark A Eys, Mark R Beauchamp",10.1123/jsep.2017-0193,2018-05-23,Journal of sport & exercise psychology,"The purpose of this research was to develop a questionnaire to assess the multidimensional construct of teamwork in sport and to examine various aspects of validity related to that instrument. A preliminary questionnaire was first created, and feedback on this instrument was then obtained from a sample of team-sport athletes (n = 30) and experts in sport psychology (n = 8). A modified version of the questionnaire was then completed by 607 athletes from 48 teams, and 5 multilevel confirmatory factor analyses were conducted to examine the structural properties of data derived from this instrument. Evidence of adequate model-data fit along with measurement reliability was obtained for each of the 5 models. Taken together, the results from this research provide support for the content, substantive, and structural aspects of construct validity for data derived from the 66-item Multidimensional Assessment of Teamwork in Sport.",,,"['effectiveness', 'group', 'processes', 'team']",,29785860,,<Element 'PubmedArticle' at 0x0000011448B92C70>,,,,,,
