,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
17,I,-0.49419771297141213,-0.44300108915252656,-0.33129936445677594,-0.3638790341597032,-0.2521773094639526,-0.21959763976102536,-0.3871502268046512,-0.554702813848277,-0.24286883240597337,-0.14512982329719165,-0.22425187829001494,-0.24752307093496295,-0.1684010159421397,-0.1544383003551708,-0.08927896094931634,-0.3685332726886928,-0.056699291246389096,1.1301315336459608,-0.1684010159421397,-0.31733664886980706,0.7903721210297195,-0.27544850210890065,3.061640523176648,3.094220192879575
18,J,-0.45230956621050566,-0.4243841350365681,-0.3499163185727343,-0.3871502268046512,-0.33595360298576554,-0.21959763976102536,-0.22425187829001494,-0.15909253888416047,-0.16374677741315002,-0.28475697916687986,-0.09393319947830599,-0.13582134623921244,-0.49419771297141213,-0.43369261209454724,-0.16374677741315002,-0.09858743800729555,-0.40576718092060965,-0.17305525447112927,-0.12651286918123322,-0.35457055710172397,-0.17305525447112927,-0.27079426357991104,3.164033770814419,2.7079183949734373
19,K,-0.4569638047394953,-0.3824959882756616,-0.3219908873987967,-0.43369261209454724,-0.22425187829001494,-0.1916722085870877,-0.23821459387698382,-0.14512982329719165,-0.24752307093496295,-0.14512982329719165,-0.19632644711607736,-0.12651286918123322,-0.03342809860144108,-0.0706620068333579,-0.19632644711607736,-0.08462472242032676,-0.4383468506235369,-0.17305525447112927,-0.07531624536234754,-0.33129936445677594,-0.22890611681900458,-0.17305525447112927,3.4525965596117745,2.977864229654835
20,L,-0.4569638047394953,-0.47092652032646415,-0.33595360298576554,-0.4011129423916201,-0.29871969475384863,-0.28941121769586947,-0.3731875112176824,-0.23356035534799416,-0.18236373152910848,-0.23356035534799416,-0.22425187829001494,-0.1684010159421397,-0.32664512592778633,-0.2009806856450669,-0.1777094930001189,-0.14512982329719165,-0.18701797005809812,-0.17305525447112927,-0.12651286918123322,-0.22890611681900458,-0.1544383003551708,-0.22890611681900458,3.2803897340391592,2.8521997893721154
21,M,-0.45230956621050566,-0.46627228179747454,-0.3033739332828383,-0.45230956621050566,-0.34526208004374476,-0.1684010159421397,-0.17305525447112927,-0.1684010159421397,-0.21959763976102536,-0.14512982329719165,-0.08927896094931634,-0.2009806856450669,-0.07997048389133711,-0.16374677741315002,-0.18701797005809812,-0.1544383003551708,-0.14978406182618123,-0.117204392123254,-0.17305525447112927,-0.3685332726886928,-0.10789591506527478,-0.1684010159421397,3.5689525228365144,3.0430235690606895
22,N,-0.4243841350365681,-0.6245163917831211,-0.48023499738444336,-0.3406078415147551,-0.33129936445677594,-0.33129936445677594,-0.29871969475384863,-0.3871502268046512,-0.3499163185727343,-0.48023499738444336,-0.5360858597323186,-0.4383468506235369,-0.1684010159421397,-0.22890611681900458,-0.22425187829001494,-0.19632644711607736,-0.22425187829001494,-0.23821459387698382,-0.6198621532541315,-0.6012451991381732,-0.1032416765362852,-0.28941121769586947,3.4758677522567223,3.224538871691284
23,O,-0.5035061900293915,-0.531431621203329,-0.3918044653336408,-0.7176011623629133,-0.3824959882756616,-0.31733664886980706,-0.27079426357991104,-0.2940654562248591,-0.3406078415147551,-0.531431621203329,-0.3638790341597032,-0.33129936445677594,-0.4011129423916201,-0.3033739332828383,-0.3033739332828383,-0.377841749746672,-0.5407400982613083,-0.21494340123203573,-0.4383468506235369,-0.29871969475384863,-0.49419771297141213,-0.3638790341597032,3.5968779540104525,3.2338473487492627
24,P,-0.5826282450222148,-0.6570960614860484,-0.5128146670873706,-0.5221231441453498,-0.5500485753192875,-0.46161804326848493,-0.5035061900293915,-0.5360858597323186,-0.4383468506235369,-0.4755807588554537,-0.43369261209454724,-0.45230956621050566,-0.33595360298576554,-0.4104214194495992,-0.4104214194495992,-0.26148578652193183,-0.5035061900293915,-0.4383468506235369,-0.3638790341597032,-0.33595360298576554,-0.33595360298576554,-0.4243841350365681,3.8714780272208396,3.2990066881551177
25,,,,,,,,,,,,,,,,,,,,,,,,,
26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
28,2,1,H2060212,14.01,17.62,17.7,40.4,40.3,18.02,18.1,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:34,,,,,,,,
29,,,,,,,,,,,,,,,,,,,,,,,,,
30,Background information,,,,,,,,,,,,,,,,,,,,,,,,
31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
32,2,Jez US LUM 384 (cps),0,4,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,
34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
36,A,-0.6947118351794301,-0.5743634696999529,-0.6173450287997662,-0.4926985074103077,-0.5141892869602144,-0.535680066510121,-0.39384092148073707,-0.5141892869602144,-0.5012948192302703,-0.38954276557075573,-0.4755058837703823,-0.4411206364905317,-0.4969966633202889,-0.4755058837703823,-0.4626114160404383,-0.509891131050233,-0.5184874428701955,-0.5442763783300836,-0.535680066510121,-0.5227855987801769,-0.6216431847097476,-0.5958542492498595,2.309699145897519,2.597675591866268
37,B,-0.6087487169798036,-0.5227855987801769,-0.587257937429897,-0.5012948192302703,-0.797867577018982,-0.548574534240065,-0.31647411510107315,0.17781381454677972,-0.5657671578799903,-0.4411206364905317,-0.3981390773907184,-0.4110335451206624,-0.39384092148073707,-0.3594556742008864,-0.4497169483104944,-0.5571708460600276,-0.47980403968036367,-0.784973109289038,-0.39384092148073707,-0.6087487169798036,-0.39384092148073707,-0.4411206364905317,2.795390763725409,2.6879368659758764
38,C,-0.5614690019700089,-0.4755058837703823,0.2766714004763503,-0.5055929751402516,-0.2734925560012599,-0.4884003515003263,-0.30357964737112914,-0.34656120647094246,-0.2906851796411851,-0.1574423464317639,-0.33796489465097984,-0.3422630505609611,-0.2562999323613345,-0.31217595919109176,-0.2047220614415586,-0.2734925560012599,-0.47120772786040105,-0.33796489465097984,-0.47120772786040105,-0.5786616256099342,-0.6087487169798036,-0.3078778032811105,3.844140805760854,2.412854887737071
39,D,-0.5786616256099342,-0.5012948192302703,-0.6130468728897849,-0.3207722710110545,-0.31647411510107315,-0.31217595919109176,-0.22621284099146527,-0.3594556742008864,-0.2906851796411851,-0.3078778032811105,-0.2391073087214092,-0.29928149146114785,-0.2820888678212225,-0.26059808827131586,-0.2562999323613345,-0.2734925560012599,-0.2734925560012599,-0.43252432467056906,-0.2391073087214092,-0.3680519860208491,-0.3293685828310171,-0.26059808827131586,2.99310593558455,2.7223221132557267
40,E,-0.34656120647094246,-0.3551575182909051,-0.17033681416170793,-0.17463497007168924,-0.058584760502193446,-0.12305709915191325,-0.0370939809522868,0.018782045877470524,0.053167293157321195,0.005887578147526505,-0.09726816369202536,-0.015603201402380145,0.06176360497728382,-0.08437369596208133,0.11763963180704115,-0.0327958250423054,-0.024199513222342775,-0.007006889582417366,-0.028497669132324016,0.08755254043717187,-0.25200177645135324,0.04886913724733981,4.570529154547699,2.821179699185297
41,F,-0.4110335451206624,-0.3078778032811105,-0.2734925560012599,-0.2348091528114279,-0.1918275937116146,-0.34656120647094246,-0.011305045492398755,-0.07577738414211871,0.0015894222375452643,-0.27779071191124116,0.0015894222375452643,0.014483889967489285,0.005887578147526505,-0.011305045492398755,-0.1531441905217826,-0.0027087336724361255,0.04457098133735857,-0.43682248058055034,0.04457098133735857,-0.11016263142196937,-0.045690292772249425,-0.07147922823213732,3.487393865232403,3.5733569834320296
42,G,-0.4755058837703823,-0.2734925560012599,-0.2691944000912785,-0.45831326013045703,-0.06288291641217468,-0.08867185187206272,-0.2348091528114279,-0.22191468508148388,-0.2004239055315772,-0.019901357312361385,-0.10156631960200675,0.014483889967489285,-0.18323128189165197,-0.0370939809522868,-0.47980403968036367,-0.1531441905217826,0.0015894222375452643,-0.028497669132324016,-0.22191468508148388,-0.06288291641217468,-0.4024372333006997,-0.11446078733195061,3.7151961284614137,2.971615156034644
43,H,-0.46690957195041966,-0.2906851796411851,-0.35085936238092374,-0.3637538301108678,-0.2477036205413719,-0.14024972279183864,-0.105864475511988,-0.1918275937116146,-0.30357964737112914,-0.105864475511988,-0.058584760502193446,-0.06718107232215607,-0.5786616256099342,-0.019901357312361385,-0.007006889582417366,-0.04139213686226804,-0.028497669132324016,-0.2820888678212225,-0.37235014193083044,-0.011305045492398755,-0.3422630505609611,-0.11446078733195061,3.5690588275220483,2.932931752844812
44,I,-0.47120772786040105,-0.4282261687605877,-0.30357964737112914,-0.3551575182909051,-0.17033681416170793,-0.2734925560012599,-0.1531441905217826,-0.21331837326152123,-0.12305709915191325,-0.25200177645135324,-0.1574423464317639,-0.11446078733195061,-0.38524460966077445,-0.2004239055315772,-0.024199513222342775,-0.13595156688185733,-0.10156631960200675,-0.3250704269210358,-0.0800755400521001,-0.10156631960200675,-0.6474321201696355,-0.11016263142196937,3.1349450806139343,3.053280118324289
45,J,-0.509891131050233,-0.4626114160404383,-0.5571708460600276,-0.30357964737112914,-0.33796489465097984,-0.23051099690144658,-0.17893312598167058,-0.2562999323613345,-0.12305709915191325,-0.5055929751402516,-0.1531441905217826,-0.17463497007168924,-0.28638702373120384,-0.1918275937116146,-0.11875894324193201,-0.1488460346118013,-0.7076063029093742,-0.3551575182909051,-0.17463497007168924,-0.2477036205413719,-0.18752943780163328,-0.1574423464317639,3.633531166171769,3.1220506128839904
46,K,-0.509891131050233,-0.5829597815199156,-0.33366673874099845,-0.7806749533790568,-0.1617405023417453,-0.27779071191124116,-0.7162026147293368,-0.09726816369202536,-0.1531441905217826,-0.34656120647094246,-0.045690292772249425,-0.3207722710110545,-0.049988448682230666,-0.08437369596208133,-0.007006889582417366,-0.14454787870181998,-0.09726816369202536,-0.06288291641217468,-0.14454787870181998,-0.11016263142196937,-0.1574423464317639,-0.11875894324193201,3.8355444939408914,3.1005598333340836
47,L,-0.4926985074103077,-0.37235014193083044,-0.41962985694062505,-0.38954276557075573,-0.33366673874099845,-0.45831326013045703,-0.1961257496215959,-0.6818173674494862,-0.4282261687605877,-0.2004239055315772,-0.20902021735153992,-0.38524460966077445,-0.09726816369202536,-0.3551575182909051,-0.1961257496215959,-0.1918275937116146,-0.1574423464317639,-0.18752943780163328,-0.11016263142196937,-0.3078778032811105,-0.14024972279183864,-0.21761652917150257,3.603444074801899,2.9501243764847374
48,M,-0.4926985074103077,-0.4626114160404383,-0.2477036205413719,-0.4024372333006997,0.3368455832160889,-0.2949833355511665,-0.12735525506189463,-0.1918275937116146,-0.6947118351794301,-0.07147922823213732,-0.484102195590345,-0.27779071191124116,-0.08437369596208133,-0.2004239055315772,-0.007006889582417366,-0.17033681416170793,-0.16603865825172662,-0.18752943780163328,-0.2434054646313905,-0.11875894324193201,-0.22621284099146527,-0.0800755400521001,3.208013731083617,2.9802114678546068
49,N,-0.445418792400513,-0.46690957195041966,-0.43682248058055034,-0.37235014193083044,-0.3766482978408117,-0.2691944000912785,-0.30357964737112914,-0.4153317010306437,-0.17893312598167058,-0.3207722710110545,-0.12305709915191325,-0.3078778032811105,-0.31217595919109176,-0.1531441905217826,-0.26059808827131586,-0.2562999323613345,-0.6044505610698222,-0.5055929751402516,-0.14454787870181998,-0.26489624418129715,-0.05428660459221206,-0.105864475511988,3.9816817948802563,2.7996889196353907
50,O,-0.587257937429897,-0.47980403968036367,-0.41962985694062505,-0.4024372333006997,-0.2820888678212225,-0.4282261687605877,-0.3422630505609611,-0.3293685828310171,-0.3551575182909051,-0.2348091528114279,-0.42392801285060633,-0.3250704269210358,-0.27779071191124116,-0.39384092148073707,-0.2004239055315772,-0.5743634696999529,-0.3250704269210358,-0.3551575182909051,-0.3766482978408117,-0.30357964737112914,-0.3207722710110545,-0.21331837326152123,3.9043149885005923,3.036087494684364
51,P,-0.7033081469993928,-0.6259413406197288,-0.6087487169798036,-0.4884003515003263,-0.5528726901500463,-0.4626114160404383,-0.4926985074103077,-0.484102195590345,-0.445418792400513,-0.47980403968036367,-0.45831326013045703,-0.4282261687605877,-0.5141892869602144,-0.43252432467056906,-0.43252432467056906,-0.3594556742008864,-0.43252432467056906,-0.43252432467056906,-0.4110335451206624,-0.46690957195041966,-0.45831326013045703,-0.3766482978408117,3.6163385425318433,3.0446838065043265
52,,,,,,,,,,,,,,,,,,,,,,,,,
53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
55,3,1,H2060214,14.01,17.62,17.72,40.4,40.3,18.02,18.11,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:36,,,,,,,,
56,,,,,,,,,,,,,,,,,,,,,,,,,
57,Background information,,,,,,,,,,,,,,,,,,,,,,,,
58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
59,3,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,,,,,,,,
61,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
63,A,-0.5495932055812616,-0.5126371366558814,-0.4962122171334902,-0.4879997573722946,-0.48389352749169684,-0.46336237808870784,-0.43051253904392545,-0.5126371366558814,-0.479787297611099,-0.47568106773050123,-0.4962122171334902,-0.4140876195215343,-0.4674686079693056,-0.4551499183275122,-0.5249558262976748,-0.5783368147454462,-0.5372745159394682,-0.5578056653424571,-0.5578056653424571,-0.6563551824768044,-0.5906555043872396,-0.561911895223055,2.4849106761805118,3.0187205606582252
64,B,-0.541380745820066,-0.43051253904392545,-0.5126371366558814,-0.48389352749169684,-0.4223000792827299,-0.5372745159394682,-0.44283122868571884,-0.5249558262976748,-0.5454869757006638,-0.3401754816707739,-0.40587515976033867,-0.5495932055812616,-0.45104368844691445,-0.38945024023794744,-0.3032194127453937,-0.5660181251036528,-0.3853440103573497,-0.47568106773050123,-0.4962122171334902,-0.4346187689245233,-0.36481286095436066,-0.2785820334618069,3.191182215643333,2.7230720092551834
65,C,-0.43051253904392545,-0.3935564701185452,-0.5331682860588703,-0.4962122171334902,-0.3483879414319695,-0.3073256426259915,-0.3278567920289805,-0.3730253207155563,-0.47157483784990345,-0.3032194127453937,-0.5865492745066418,-0.5044246768946858,-0.3155381023871871,-0.23751973465582893,-0.2416259645364267,-0.479787297611099,-0.29911318286479593,-0.4099813896409365,-0.34428171155137166,-0.3730253207155563,-0.5660181251036528,-0.3360692517901761,4.115083938777838,2.747709388538771
66,D,-0.43872499880512106,-0.45104368844691445,-0.3976626999991431,-0.3073256426259915,-0.3524941713125673,-0.5454869757006638,-0.2662633438200135,-0.8739853661484877,-0.2539446541782201,-0.3853440103573497,-0.3032194127453937,-0.24983842429762235,-0.2539446541782201,-0.2662633438200135,-0.19645743584985098,-0.35660040119316505,-0.2950069529841981,-0.3237505621483827,-0.2662633438200135,-0.18824497608865529,-0.3073256426259915,-0.27447580358120915,3.1049513881507793,2.6943284000909995
67,E,-0.2909007231036003,-0.33196302190957827,-0.20466989561104654,-0.19235120596925306,-0.1225452979990906,-0.08148299919311257,0.0170665179412346,-0.14307644740207948,-0.1225452979990906,0.02938520758302792,-0.08148299919311257,-0.01578332110354774,-0.541380745820066,-0.28679449322300254,0.06634127650840818,-0.3730253207155563,-0.47568106773050123,-0.04863316014833023,-0.09380168883490604,-0.14307644740207948,-0.11022660835729714,-0.011677091222949966,3.688036031195667,2.875002514837302
68,F,-0.3032194127453937,-0.29911318286479593,-0.28268826334240466,-0.1718200565662642,-0.19645743584985098,-0.2210948151334377,-0.07737676931251479,0.004747828299441129,-0.33196302190957827,-0.22520104501403554,-0.06505807967072133,-0.03631447050653676,-0.056845619909525774,-0.01578332110354774,-0.09790791871550382,-0.4140876195215343,0.0868724259113972,-0.03220824062593899,0.05812881674721264,-0.5536994354618594,-0.1471826772826774,-0.0075708613423521925,3.983684582598708,2.9283835032850734
69,G,-0.38123778047675183,-0.24983842429762235,-0.3196443322677849,-0.15128890716327517,-0.22520104501403554,-0.15950136692447073,-0.3853440103573497,-0.2539446541782201,-0.04042070038713453,-0.2950069529841981,-0.16360759680506848,-0.01578332110354774,-0.04863316014833023,0.09508488567259275,0.033491437463625845,-0.10201414859610158,-0.22520104501403554,-0.1225452979990906,-0.08558922907371035,-0.10201414859610158,-0.16771382668566626,-0.019889550984145663,3.49504322680757,2.739496928777575
70,H,-0.37713155059615405,-0.29911318286479593,-0.29911318286479593,-0.1841387462080575,-0.24573219441702449,-0.10612037847669936,-0.15128890716327517,-0.15128890716327517,-0.14307644740207948,-0.06095184979012355,-0.22520104501403554,-0.10612037847669936,-0.10612037847669936,-0.21698858525283993,-0.07737676931251479,-0.15539513704387295,-0.06505807967072133,-0.29911318286479593,-0.11022660835729714,-0.07327053943191703,-0.1718200565662642,-0.06916430955131925,4.2793331340017495,2.7148595494939882
71,I,-0.37713155059615405,-0.3401754816707739,-0.3360692517901761,-0.27036957370061127,-0.2539446541782201,-0.28268826334240466,-0.08558922907371035,-0.2210948151334377,-0.06916430955131925,-0.13486398764088392,-0.16360759680506848,-0.2210948151334377,-0.16360759680506848,-0.6768863318797933,-0.1143328382378949,-0.20466989561104654,-0.019889550984145663,-0.16771382668566626,-0.1389702175214817,-0.11022660835729714,-0.1718200565662642,-0.1225452979990906,3.9097724447479476,2.7928779172253466
72,J,-0.42640630916332767,-0.36891909083495844,-0.3032194127453937,-0.29911318286479593,-0.24983842429762235,-0.22520104501403554,-0.11843906811849268,-0.5742305848648485,-0.2950069529841981,-0.11843906811849268,-0.1841387462080575,-0.14307644740207948,-0.16771382668566626,-0.19645743584985098,-0.13486398764088392,-0.15950136692447073,-0.36481286095436066,-0.3976626999991431,-0.22930727489463332,-0.16360759680506848,-0.2334135047752311,-0.15950136692447073,3.798904237971807,2.661478561046217
73,K,-0.4017689298797409,-0.27036957370061127,-0.6111866537902286,-0.16771382668566626,-0.24573219441702449,-0.16360759680506848,-0.13075775776028614,-0.1389702175214817,-0.08148299919311257,-0.08148299919311257,-0.2416259645364267,-0.21288235537224215,-0.22520104501403554,0.0006415984188433553,-0.1143328382378949,-0.11022660835729714,-0.08148299919311257,-0.16771382668566626,-0.16360759680506848,-0.1841387462080575,-0.29911318286479593,-0.10201414859610158,3.786585548330014,2.5506103542700767
74,L,-0.4674686079693056,-0.5536994354618594,-0.5085309067752836,-0.36481286095436066,-0.2580508840588179,-0.20877612549164432,-0.2580508840588179,-0.2416259645364267,-0.2416259645364267,-0.1718200565662642,-0.1389702175214817,-0.36891909083495844,-0.21288235537224215,-0.5331682860588703,-0.1389702175214817,-0.19645743584985098,-0.1266515278796884,-0.21698858525283993,-0.5947617342678374,-0.1389702175214817,-0.5044246768946858,-0.1225452979990906,2.8708962849567046,2.8667900550761067
75,M,-0.43872499880512106,-0.22930727489463332,-0.3032194127453937,-0.3278567920289805,-0.38945024023794744,-0.27447580358120915,-0.14307644740207948,-0.2416259645364267,-0.11843906811849268,-0.3032194127453937,-0.19235120596925306,-0.04863316014833023,-0.22520104501403554,-0.17592628644686195,-0.07737676931251479,-0.2950069529841981,-0.13486398764088392,-0.27036957370061127,-0.2210948151334377,-0.19645743584985098,-0.2416259645364267,-0.052739390028928,4.525706926837618,3.08442023874779
76,N,-0.45104368844691445,-0.27447580358120915,-0.40587515976033867,-0.3607066310737629,-0.3483879414319695,-0.2950069529841981,-0.3155381023871871,-0.019889550984145663,-0.3483879414319695,-0.27036957370061127,-0.38945024023794744,-0.20877612549164432,-0.2909007231036003,-0.20466989561104654,-0.2950069529841981,-0.3073256426259915,-0.2416259645364267,-0.24983842429762235,-0.3196443322677849,-0.27447580358120915,-0.3032194127453937,-0.1718200565662642,3.659292422031482,3.1336949973149633
77,O,-0.47157483784990345,-0.623505343432022,-0.3114318725065893,-0.4140876195215343,-0.24983842429762235,-0.3935564701185452,-0.18824497608865529,-0.5906555043872396,-0.27447580358120915,-0.23751973465582893,-0.34428171155137166,-0.47157483784990345,-0.34428171155137166,-0.500318447014088,-0.3073256426259915,-0.3853440103573497,-0.3401754816707739,-0.5783368147454462,-0.3976626999991431,-0.6481427227156088,-0.479787297611099,-0.3032194127453937,2.8832149745984976,3.527893065852352
78,P,-0.6111866537902286,-0.5044246768946858,-0.5742305848648485,-0.5249558262976748,-0.4551499183275122,-0.47568106773050123,-0.4551499183275122,-0.5290620561782726,-0.44693745856631667,-0.47157483784990345,-0.5044246768946858,-0.4140876195215343,-0.46336237808870784,-0.479787297611099,-0.45925614820811006,-0.4879997573722946,-0.479787297611099,-0.5044246768946858,-0.5126371366558814,-0.5044246768946858,-0.5290620561782726,-0.41819384940213206,3.560742904897135,2.8626838251955093
79,,,,,,,,,,,,,,,,,,,,,,,,,
80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
82,4,1,H2060216,14.01,17.72,17.82,40.3,40.6,18.11,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:38,,,,,,,,
83,,,,,,,,,,,,,,,,,,,,,,,,,
84,Background information,,,,,,,,,,,,,,,,,,,,,,,,
85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
86,4,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,,,,,,,,,
88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
